Title,Coordinates,State,City,Iframe Link
INNOVATIVE AG SERVICES - CLEVES EAST,"-93.0445,42.471939,0",IOWA,ACKLEY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110005735204
INNOVATIVE AG SERVICES - FAULKNER,"-93.084349,42.612863,0",IOWA,ACKLEY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000521980
LANDUS COOPERATIVE - MACY,"-93.14466,42.540092,0",IOWA,ACKLEY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000716501
"ADAIR, IA 109","-94.63882,41.50062,0",IOWA,ADAIR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000513098
HELENA CHEMICAL COMPANY,"-94.640222,41.496786,0",IOWA,ADAIR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038222269
PELGROW - ADAIR,"-94.639511,41.49679,0",IOWA,ADAIR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038247894
220 SOUTH 5TH STREET,"-94.01384,41.616069,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056363894
415 A&B RIVER STREET,"-94.013069,41.615889,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056363901
425 RIVER STREET,"-94.0138,41.61588,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056364410
508 GREENE STREET,"-94.0144,41.6144,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063009015
ADEL WWTP,"-94.0015,41.6024,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039932160
CENTRAL IOWA READY MIX,"-94.01507,41.61542,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070232694
CHEMTECH INC,"-94.04038,41.61241,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038282532
DALLAS COUNTY ENGINEERING DEPARTMENT PROPERTIES,"-94.013056,41.615556,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063010290
FERRY STREET PROPERTIES,"-94.016509,41.615071,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056364429
FORMER ADEL SCHOOL,"-94.020886,41.618384,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056364401
INLAND COATINGS HOLDINGS LLC,"-93.964262,41.615195,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071286804
SIOUX CITY BRICK & TILE CO UNITED BRICK & TILE A DIV,"-94.03245,41.61717,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000412517
STINE MICROBIAL PRODUCTS,"-94.060139,41.713879,0",IOWA,ADEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038281855
FARMERS COOP CO. - AFTON BRANCH,"-94.195,41.029444,0",IOWA,AFTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000524291
FARMERS COOPERATIVE CO,"-94.18094,41.02224,0",IOWA,AFTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038235941
CROP PRODUCTION SERVICES 1338,"-92.29423,40.99274,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067107801
GOLDEN FURROW FERTILIZER,"-92.29423,40.99274,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038285940
IFF AGENCY 26,"-92.295318,40.999015,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691375
IFF JIRSA LOISE,"-92.261236,40.995235,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691378
IFF PLEASANT 29,"-92.295264,40.999023,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691380
IFF WASHINGTON 6,"-92.266696,40.968691,0",IOWA,AGENCY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070690267
VISION AG LLC - AINSWORTH,"-91.57164,41.29024,0",IOWA,AINSWORTH,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000723539
WITTHOFT SUPPLY,"-91.61385,41.39589,0",IOWA,AINSWORTH,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110011715117
CENTRAL VALLEY AG COOPERATIVE,"-96.562018,42.82779,0",IOWA,AKRON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067091612
FARMERS COOPERATIVE COMPANY - AKRON FACILITY,"-96.561778,42.827599,0",IOWA,AKRON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000507461
AG PARTNERS,"-94.943528,42.781806,0",IOWA,ALBERT CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007044894
B & B CHLORINATION,"-94.94736,42.78168,0",IOWA,ALBERT CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038243861
VALERO - ALBERT CITY,"-94.942166,42.775376,0",IOWA,ALBERT CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022575480
"A.Y.M., INC","-92.8099,41.0111,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010385252
AGRILAND FS INC. -ALBIA,"-92.855219,41.074723,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000509806
KNESS MFG CO INC,"-92.810661,41.004526,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007074165
"QUALITY AG SERVICE OF IOWA, INC","-92.838372,41.022911,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038293254
"QUALITY AG SVC OF IOWA, INC.","-92.832603,41.047924,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067116178
"RELCO LOCOMOTIVES, INC","-92.792785,40.978177,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110058132523
SMITH FERTILIZER & GRAIN CO INC,"-92.816024,41.034592,0",IOWA,ALBIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067085371
NEW CENTURY FS - ALBION,"-92.99589,42.12106,0",IOWA,ALBION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110009360654
AGVANTAGE FS,"-91.62706,42.14218,0",IOWA,ALBURNETT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067063885
"AGVANTAGE FS, INC - ALBURNETT 8336","-91.627196,42.141984,0",IOWA,ALBURNETT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000510457
INNOVATIVE AG SERVICES - ALDEN,"-93.38097,42.505286,0",IOWA,ALDEN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007045152
"AG PROCESSING, INC. ALGONA METHYL ESTER PROCESSING","-94.182672,43.079207,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056955488
ALGONA CITY OF STP,"-94.248056,43.064444,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001967738
ALGONA IA 205,"-94.18666,43.077749,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000516031
CEMSTONE CONCRETE MATERIALS-ALGONA,"-94.24194,43.08222,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007074147
"FLINT HILLS RESOURCES LP, ALGONA, IA","-94.21362,43.07705,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000413507
HORMEL FOODS CORPORATION,"-94.22377,43.08276,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070559772
HORMEL FOODS CORPORATION ALGONA PLANT,"-94.223056,43.079722,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032983662
"MURPHY FARMS, LLC","-94.28391,43.07048,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110017385122
"PIONEER HI-BRED INTERNATIONAL, INC.","-94.238963,43.084369,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038259363
SNAP-ON TOOLS MANUFACTURING COMPANY,"-94.206715,43.082428,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010828854
TOM EISCHEN SALES INC.,"-94.244335,43.08282,0",IOWA,ALGONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038284656
UNITED FARMERS COOP,"-95.643207,43.414573,0",IOWA,ALLENDORF,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007251339
DAIRICONCEPTS,"-93.365116,40.707831,0",IOWA,ALLERTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110036170023
AGVANTAGE FS - ALLISON,"-92.81115,42.74478,0",IOWA,ALLISON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000710268
"ASMUS FARM SUPPLY, INC.","-92.73851,42.74467,0",IOWA,ALLISON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067090695
CROELL REDI-MIX INC-ALLISON,"-92.81396,42.74479,0",IOWA,ALLISON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110040468810
FARMERS COOPERATIVE CO - ALLISON,"-92.79512,42.7519,0",IOWA,ALLISON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038225587
"WAUCOMA GRAIN, INC - ALPHA","-92.04765,42.99727,0",IOWA,ALPHA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038246289
"AG PARTNERS, LLC - ALTA 1","-95.299637,42.674517,0",IOWA,ALTA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000522426
FIRST COOPERATIVE ASSOC-ALTA,"-95.3041,42.67537,0",IOWA,ALTA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001323719
AG PARTNERS LLC ALTON IA,"-95.999613,42.995854,0",IOWA,ALTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043622648
"AG PARTNERS, L.L.C. - ALTON","-96.00826,42.98897,0",IOWA,ALTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067096154
MIDWEST FARMERS COOPERATIVE,"-96.00826,42.98897,0",IOWA,ALTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007045072
"NORTHWEST IOWA AGRONOMY, LLC","-96.0021,42.99209,0",IOWA,ALTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038262091
ARTISTIC MANUFACTURING CORPORATION,"-93.470761,41.649445,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010828827
FARMERS COOPERATIVE CO,"-93.464,41.63729,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038229182
IOWA COLD STORAGE,"-93.453765,41.665764,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110020518741
KENT NUTRITION GROUP INC,"-93.46456,41.65307,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000412526
"KENT NUTRITION GROUP, INC.","-93.46457,41.65,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070158532
MARZETTI FROZEN PASTA,"-93.472944,41.645472,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022523321
ZIEGLER INC.,"-93.48361,41.66613,0",IOWA,ALTOONA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070070327
COOPERATIVE FARMERS ELEVATOR,"-96.297769,43.345971,0",IOWA,ALVORD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070521010
FARMERS ELEV CO - ALVORD BRANCH,"-96.30296,43.34182,0",IOWA,ALVORD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038247750
JOEL MOSER,"-96.30126,43.37511,0",IOWA,ALVORD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070690187
VERN KNOBLOCH,"-96.32977,43.38652,0",IOWA,ALVORD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691294
CP BIOENERGY/AMANA FARMS,"-91.873748,41.802031,0",IOWA,AMANA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691187
3M CO - AMES,"-93.57913,42.0296,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000412571
"AG INPUTS, INC","-93.70971,42.034602,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071047345
AMES WATER POLLUTION CONTROL FACILITY,"-93.555278,41.955833,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110042330867
BARILLA AMERICA INC,"-93.56536,42.02292,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110012576523
BASF PLANT SCIENCE LP,"-93.60994,41.96088,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070384895
BECKER UNDERWOOD INC,"-93.58156,42.02975,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000412544
CITY OF AMES STEAM ELECTRIC PLANT,"-93.60784,42.02535,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038076453
CLARION TECHNOLOGIES INC,"-93.62966,41.99387,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110037072048
COLORBIOTICS LLC,"-93.583221,42.040204,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060261862
DSM NUTRITIONAL PRODUCTS  INC,"-93.581284,42.016382,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001753255
HACH COMPANY,"-93.581944,42.025278,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000612025
IOWA STATE READY MIX,"-93.625359,42.022868,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060261176
IOWA STATE UNIVERSITY,"-93.642367,42.029863,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041447468
IOWA STATE UNIVERSITY/ ISU HEATING PLANT,"-93.639466,42.027734,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022692111
PINNACLE AG- AGVENTURE- AMES,"-93.69865,42.07799,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070200625
SAUER-DANFOSS COMPANY - AIRPORT RD,"-93.61341,42.00106,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001388221
SAUER-DANFOSS INC,"-93.573354,42.033526,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000738649
USDA APHIS NATIONAL VETERINARY SERVICES LABORATORIES,"-93.58155,42.0367,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001329633
USDA ARS IA NATIONAL ANIMAL DISEASE CENTER,"-93.580449,42.047831,0",IOWA,AMES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110018868411
ANAMOSA STATE PENITENTIARY,"-91.289285,42.111172,0",IOWA,ANAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110018865806
ANAMOSA WWTP,"-91.287252,42.105187,0",IOWA,ANAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002040149
EMERSON MOTOR CO,"-91.265275,42.103523,0",IOWA,ANAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001407479
"RECONSERVE OF IOWA, INC.","-91.3681,42.13998,0",IOWA,ANAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110008998068
ANDOVER GRAIN & FERTILIZER INC,"-90.252621,41.976346,0",IOWA,ANDOVER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038249918
INNOVATIVE AG SERVICES - ANDREW,"-90.595085,42.149876,0",IOWA,ANDREW,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000558557
"AIRGAS USA, LLC -  ANKENY, IA","-93.57335,41.72703,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001397881
ALBAUGH CORP,"-93.573581,41.723388,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001360884
"ANKENY POTW, CITY OF","-93.571389,41.718333,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001961066
BASF CORPORATION (C/O XPO LOGISTICS),"-93.581403,41.681812,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071216319
CARGILL INC NUTRENA FEEDS DIV,"-93.573248,41.72789,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001326583
JACOBSON WHSE CO,"-93.592706,41.71275,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067116524
JACOBSON WHSE CO - XPO LOGISTICS SUPPLY CHAIN,"-93.581403,41.681812,0",IOWA,ANKENY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070689562
