Title,Coordinates,State,City,Iframe Link
COMPOSITES USA INC,"-75.69234,39.58902,0",DELAWARE,BEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001135227
HMA CONCRETE LLC DBA HERITAGE CONCRETE BEAR FACILITY,"-75.69097,39.60679,0",DELAWARE,BEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060258821
"IMS, INC.","-75.68889,39.60947,0",DELAWARE,BEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110031402738
ROGERS CORPORATION - BEAR,"-75.6579,39.60265,0",DELAWARE,BEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000338484
WHITTINGTON WOODS,"-75.66963,39.63848,0",DELAWARE,BEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046230716
NANTICOKE CLEANERS,"-75.60949,38.63843,0",DELAWARE,BLADES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110054387098
PROCINO PLATING,"-75.60891,38.63034,0",DELAWARE,BLADES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001736186
AMERICAN ORIGINAL CORP,"-75.615133,38.703284,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002468810
BRIDGEVILLE WASTEWATER TREATMENT PLANT,"-75.580452,38.746649,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000880761
HELENA CHEMICAL CO,"-75.6044,38.75241,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038224203
LEBANON CHEMICAL CORPORATION,"-75.606,38.74229,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002331771
MEHERRIN BRIDGEVILLE,"-75.6102,38.73085,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038222125
PERDUE FARMS - BRIDGEVILLE,"-75.60749,38.7585,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110021307307
SEAFORD RMC FACILITY,"-75.544589,38.695647,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071434161
SIMMONS BRIDGEVILLE,"-75.610777,38.745206,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070557815
THE PICTSWEET COMPANY,"-75.608055,38.738611,0",DELAWARE,BRIDGEVILLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056610369
CAMDEL METALS CORPORATION,"-75.55563,39.10974,0",DELAWARE,CAMDEN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041997961
HMA CONCRETE LLC DBA HERITAGE CONCRETE CHESWOLD FACILITY,"-75.57881,39.21686,0",DELAWARE,CHESWOLD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060279924
BOC GASES,"-75.43971,39.81041,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001409841
EVRAZ CLAYMONT STEEL,"-75.447627,39.810232,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056963567
GENERAL CHEMICAL CORPORATION (CLOSED),"-75.430356,39.803933,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001143986
HONEYWELL DELAWARE PLANT,"-75.4392,39.810528,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000338518
INTERNATIONAL MILL SERVICE,"-75.44887,39.80732,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002331806
LOGICHEM LLC,"-75.435993,39.810888,0",DELAWARE,CLAYMONT,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071901669
HALKO MANUFACTURING CO.,"-75.635,39.295556,0",DELAWARE,CLAYTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064121551
HANOVER FOODS CORP,"-75.640814,39.290014,0",DELAWARE,CLAYTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000585073
METAL MASTERS FOODSERVICE EQUIPMENT CO.,"-75.63116,39.29477,0",DELAWARE,CLAYTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002512629
SOUTHERN STATES COOP/SMYRNA-CLAYTON,"-75.631281,39.285363,0",DELAWARE,CLAYTON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110037590103
GROWMARK FS DAGSBORO,"-75.248992,38.547894,0",DELAWARE,DAGSBORO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070914408
INDIAN RIVER,"-75.234722,38.586111,0",DELAWARE,DAGSBORO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064617589
"SOUTHERN STATES COOP.,INC.-DAGSBORO SVC.","-75.24842,38.5478,0",DELAWARE,DAGSBORO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000521418
AIR LIQUIDE INDUSTRIAL US LP,"-75.638463,39.581088,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007354246
"AIR PRODUCTS & CHEMICALS, INC. H2 SMR PLANT AT DELAWARE CITY REFINING COMPANY","-75.649341,39.580115,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071285724
AKZO CHEMICALS INC.,"-75.6392,39.5878,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001102459
DELAWARE CITY POWER PLANT,"-75.63237,39.595919,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110054469026
DELAWARE CITY REFINERY,"-75.634,39.591,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001148598
FORMOSA PLASTICS CORPORATION,"-75.6492,39.5851,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000338536
KANEKA DELAWARE CORPORATION,"-75.610333,39.60125,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000338545
VPI MIRREX CORPORATION (CLOSED),"-75.646512,39.586194,0",DELAWARE,DELAWARE CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038640824
ALLEN'S HATCHERY INC (ALLENS DELMAR MILLING),"-75.573841,38.478646,0",DELAWARE,DELMAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000585108
"HAWKINS, INC - DELMAR","-75.543774,38.477878,0",DELAWARE,DELMAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071407264
