Title,Coordinates,State,City,Iframe Link
A.M. YOUNG GAS STATION,"-170.677972,-14.267653,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010780565
AMERICAN SAMOA SHIPYARD SERVICES,"-170.690778,-14.271722,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010063787
AMERICAN SAMOA TERMINAL,"-170.679917,-14.283444,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110008253763
CHICKEN OF THE SEA INTERNATIONAL SAMOA PACKING CO,"-170.686791,-14.270809,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000601395
PAGO PAGO UTULEI RAINMAKER HOTEL,"-170.681866,-14.281981,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070258630
STARKIST SAMOA INC,"-170.687692,-14.270919,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110045691391
STARKIST SAMOA TAFUNA CAN PLANT,"-170.719388,-14.321981,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110008253781
TAFUNA WWTF,"-170.722611,-14.340156,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039976808
UTULEI WWTF,"-170.6778,-14.2839,0",AMERICAN SAMOA,PAGO PAGO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039976755
100 ESTRELLA,"-112.86151,32.37197,0",ARIZONA,AJO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110044763164
AJO COMMUNITY HEALTH CENTER,"-112.86407,32.37552,0",ARIZONA,AJO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043562926
AJO ELKS CLUB,"-112.86328,32.37464,0",ARIZONA,AJO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110044214418
