Title,Coordinates,State,City,Iframe Link
ALEXANDER PLANT,"-92.444942,34.602819,0",ARKANSAS,ALEXANDER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110069259661
PPG PROTECTIVE AND MARINE COATINGS,"-92.41543,34.642685,0",ARKANSAS,ALEXANDER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110035822063
RAZORBACK CONCRETE - ALEXANDER,"-92.44841,34.63363,0",ARKANSAS,ALEXANDER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071434179
WHITING SYSTEMS INC,"-92.4584,34.64271,0",ARKANSAS,ALEXANDER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000597809
WTS INCORPORATED,"-92.44647,34.63574,0",ARKANSAS,ALEXANDER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110015764118
"BUTTERBALL, LLC - ALIX FEED MILL","-93.730774,35.42228,0",ARKANSAS,ALIX,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110014466862
OZARK GAS TRANS./NOARK COMP.,"-93.747399,35.402668,0",ARKANSAS,ALIX,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007229971
CITY OF ALMA WWTP,"-94.1856,35.4606,0",ARKANSAS,ALMA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110025058773
MORRELL MFG  INC,"-94.225708,35.504847,0",ARKANSAS,ALMA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110015781509
AGRO DIST LLC,"-91.845106,34.336453,0",ARKANSAS,ALTHEIMER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038259041
CROP PRODUCTION SERVICES 4009,"-91.841306,34.339778,0",ARKANSAS,ALTHEIMER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038230125
GREENPOINT AG 2010,"-91.845106,34.336453,0",ARKANSAS,ALTHEIMER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067072580
