Title,Coordinates,State,City,Iframe Link
AKRON : NH3 PLT,"-103.200028,40.150111,0",COLORADO,AKRON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002355237
COLORADO INTERSTATE GAS CO - NIOBRARA,"-102.997162,39.892208,0",COLORADO,AKRON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001390771
"ALTA FUELS, INC.","-105.86546,37.46602,0",COLORADO,ALAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110069310463
PINK ELEPHANT,"-105.865318,37.467494,0",COLORADO,ALAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110057203459
PUBLIC SERVICE CO ALAMOSA PLT,"-105.88455,37.46895,0",COLORADO,ALAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001436839
REGIONAL WWTF,"-105.857243,37.460941,0",COLORADO,ALAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001103332
SLV HABITAT FOR HUMANITY SITE,"-105.86429,37.46819,0",COLORADO,ALAMOSA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067033427
PARIS MILL PROPERTY,"-106.10823,39.295999,0",COLORADO,ALMA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038716850
MWCA INC,"-106,37.051389,0",COLORADO,ANTONITO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001145387
MULL DRILLING CO ARAPAHOE NW C.S.,"-102.15323,38.87316,0",COLORADO,ARAPAHOE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002003457
JOINT WATER PURIFICATION PLANT,"-104.80488,39.57081,0",COLORADO,ARAPAHOE COUNTY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064607126
CABEZON RANCH,"-107.2843,37.129,0",COLORADO,ARBOLES,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043241220
TRI-ME SPRAYING SERVICE,"-103.27584,39.28805,0",COLORADO,ARRIBA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110017346317
"ADVANCED SURFACE TECHNOLOGIES, INC.","-105.06527,39.79434,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001728710
ARVADA TREATMENT CENTER LLC,"-105.05771,39.79831,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110027855408
CLEAR CREEK VALLEY WATER AND SANITATION DISTRICT,"-105.08817,39.80203,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039553248
COMMON EARTH COMMUNITY GARDEN,"-105.1285,39.82615,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110069992238
COORSTEK - TABLE MOUNTAIN CENTER EAST,"-105.176309,39.780259,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110020505997
DENVER INSTRUMENT CO,"-105.15842,39.81488,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002135635
DENVER URBAN GARDENS - N ARVADA MIDDLE SCHOOL,"-105.072097,39.82866,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070106217
DENVER URBAN GARDENS - STEVENS ELEMENTARY SCHOOL,"-105.076666,39.770825,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070106171
DENVER URBAN GARDENS AT BEYOND HOME,"-105.079601,39.808303,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071090570
DENVER URBAN GARDENS AT JEFFERSON COUNTY HEADSTART,"-105.085519,39.790418,0",COLORADO,ARVADA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071090568
