Title,Coordinates,State,City,Iframe Link
420 MAIN STREET,"-73.07804,41.33994,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070081546
74 GROVE STREET - ANSONIA,"-73.08788,41.34126,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070068513
ANSONIA COPPER & BRASS,"-73.08159,41.35053,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000316051
ANSONIA ROAD READY,"-73.076132,41.336522,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070081522
ANSONIA WATER POLLUTION CONTROL FACILITY,"-73.08029,41.33114,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006615528
COOK INDUSTRIAL PARK,"-73.073087,41.341212,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038760365
FARREL CORPORATION,"-73.079707,41.346149,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000864397
"LATEX FOAM PRODUCTS, LLC","-73.079751,41.344279,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000316042
N.E. CENTER FOR FOREST HEALTH RESEARCH,"-73.063211,41.333949,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038272080
PALMER BROTHERS BUILDINGS,"-73.07808,41.34433,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043454767
PANDEL PROPERTIES LLC,"-73.07983,41.3478,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070594144
TARGET STORE T2249,"-73.079751,41.344279,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110030386972
TELEDYNE ANSONIA,"-73.08367,41.34746,0",CONNECTICUT,ANSONIA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002333760
AVON MANUFACTURING,"-72.83394,41.80104,0",CONNECTICUT,AVON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001758410
BAUER AEROSPACE DIV,"-72.84373,41.80799,0",CONNECTICUT,AVON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001406194
